Month,temp_max_daily,temp_min_daily,temp_max_extreme,temp_min_extreme,rainfall_total,rainfall_max_daily,rainy_days,sunshine_mean_daily,humidity_min,humidity_mean_24hr
2011-11-01,31.1,24.6,32.5,22.8,377.8,78.6,24,4.7,55,87.8
2011-10-01,31.9,24.1,32.5,22.5,216.8,54,20,5.3,55,87.4
2011-09-01,30.9,25.1,32.4,21.5,136.4,40.4,14,5.1,51,82.7
2011-08-01,31,25.6,32.5,23.3,81.4,30.2,13,6.1,52,82.6
2011-07-01,31.9,25.5,32.9,22.2,76.6,30,7,7.8,59,81.3
2011-06-01,31.3,25.2,33.1,22.2,213,82,15,5,56,83.7
2011-05-01,32.4,25.2,35.3,23.4,127,34.2,15,5.9,46,85.3
2011-04-01,31.9,24.6,33.1,21.4,217.8,61.8,12,7.2,55,83.9
2011-03-01,31.3,23.9,33.5,21.9,256.6,54,22,4.6,47,85.5
2011-02-01,31.7,24.1,33.5,23.2,23,17.4,8,7.5,41,81.1
2011-01-01,29.7,23.5,32.4,21.6,513.2,216.2,17,4.5,57,85.8
2010-12-01,30.8,23.9,33.6,22.3,181.4,85.8,14,3.6,54,85.3
2010-11-01,31.6,24.2,33.1,21.7,278.8,41.6,21,5,52,85.9
2010-10-01,31.7,25.1,34.1,22.6,166.2,58.1,17,4.2,43,82.3
2010-09-01,31.8,24.9,33.2,22.6,121.5,28,13,5.7,50,82.5
2010-08-01,31.2,24.6,33.1,22,158.4,60.2,16,5.4,50,84.2
2010-07-01,30.9,24.6,33.4,22.4,298.5,121.1,18,4.6,48,84.8
2010-06-01,31.4,25.2,33.5,23,240.5,43,19,5.1,55,83.9
2010-05-01,33.2,25.9,35.2,22.9,157.5,90.5,17,6.5,50,82.2
2010-04-01,32.8,25,34.5,22.5,158.5,40,18,6.2,55,84.1
2010-03-01,33.1,25.1,35.5,22.8,238,57.6,11,6.1,46,79.9
2010-02-01,33.5,25.5,35.2,23.8,6.3,2.9,4,8.8,47,77.3
2010-01-01,31.2,24.4,32.3,21.8,69.5,24.5,10,7.1,50,82.1
2009-12-01,30.7,24.6,32.6,23.2,189.8,42.6,18,4.8,61,86.3
2009-11-01,31.5,24.8,34.1,23.5,281.8,61.4,23,4.7,51,85.6
2009-10-01,32.1,25.2,33.9,23.4,133.4,38.4,15,5.4,49,82.8
2009-09-01,31.7,25.5,33,23.1,109.6,63,13,5.6,53,82
2009-08-01,31.7,25.6,33.5,22.6,177.8,35.5,12,6.5,51,80.7
2009-07-01,31.7,25.3,33.1,22.1,161,24.4,16,6.2,56,80.8
2009-06-01,32.6,26.2,33.7,24,21.8,5.8,8,6.7,53,79.8
2009-05-01,32.2,25.3,33.6,21.8,198.6,41.3,17,6.6,52,83
2009-04-01,32.3,25.4,34.7,22.9,183.7,86.6,12,6.2,48,82.2
2009-03-01,31.4,24.1,33.2,22.3,223.3,56.3,19,5.5,54,85.4
2009-02-01,32.3,24.3,35,23.1,201.8,74.2,8,6.5,42,80.7
2009-01-01,30.7,24.2,32.6,23.2,38.3,36,5,6.6,50,79.1
2008-12-01,30.4,24.3,32.6,22.1,244.2,52,17,4.7,52,83.7
2008-11-01,31.2,24.5,33,22.5,324.3,63.3,16,4,58,85.9
2008-10-01,31.4,25,33.3,23.1,159.5,41.6,19,4.5,58,84.9
2008-09-01,31.1,24.6,32.9,22.1,164.4,43.5,18,5.1,52,82.7
2008-08-01,30.9,24.7,32.4,22.6,327.3,133.9,18,5.5,55,83.8
2008-07-01,30.8,25.1,32.7,23.2,89.1,23.5,15,4.9,52,81.3
2008-06-01,31.4,25.3,32.9,22,118.3,45.2,12,5.6,54,81.5
2008-05-01,32.2,26,34.1,22.1,124.9,42.3,10,6.6,47,79.1
